Year,CO2_Total,CO2_Per_Capita,Global_CO2_Per_Capita
1892,0.2125,NaN,0.868
1893,0.6632,NaN,0.853
1894,0.3041,NaN,0.878
1895,0.1795,NaN,0.925
1896,0.3627,NaN,0.950
1897,0.5240,NaN,0.989
1898,0.6559,NaN,1.037
1899,0.7328,NaN,1.126
1900,0.5130,NaN,1.180
1901,0.5020,NaN,1.211
1902,0.3994,NaN,1.234
1903,0.5569,NaN,1.337
1904,0.8024,NaN,1.342
1905,0.7914,NaN,1.419
1906,0.8354,NaN,1.479
1907,0.8500,NaN,1.660
1908,0.9197,NaN,1.585
1909,1.0186,NaN,1.636
1910,1.3227,NaN,1.704
1911,1.1578,NaN,1.722
1912,1.1395,NaN,1.791
1913,1.3520,NaN,1.924
1914,1.6451,NaN,1.733
1915,1.7074,NaN,1.697
1916,1.8173,NaN,1.819
1917,1.7367,NaN,1.888
1918,1.6891,NaN,1.848
1919,1.7660,NaN,1.589
1920,1.8576,NaN,1.834
1921,2.4439,NaN,1.596
1922,2.6271,NaN,1.659
1923,2.8030,NaN,1.867
1924,3.2793,NaN,1.856
1925,3.6164,NaN,1.859
1926,3.4222,NaN,1.809
1927,3.9571,NaN,1.957
1928,5.2975,NaN,1.930
1929,5.3230,NaN,2.053
1930,5.2718,NaN,1.875
1931,4.6563,NaN,1.660
1932,4.6269,NaN,1.482
1933,4.2754,NaN,1.545
1934,4.2827,NaN,1.664
1935,4.7628,NaN,1.728
1936,5.8728,NaN,1.880
1937,6.2388,NaN,1.990
1938,6.3523,NaN,1.854
1939,7.0923,NaN,1.942
1940,6.7699,NaN,2.102
1941,6.3265,NaN,2.130
1942,3.3848,NaN,2.103
1943,2.7695,NaN,2.121
1944,1.4253,NaN,2.139
1945,0.6155,NaN,1.764
1946,0.7143,NaN,1.908
1947,0.7107,NaN,2.093
1948,0.9999,NaN,2.181
1949,1.0766,NaN,2.094
1950,1.4797,0.060,2.367
1951,1.2852,0.051,2.469
1952,1.8641,0.072,2.458
1953,1.7502,0.066,2.483
1954,2.6700,0.098,2.492
1955,3.5236,0.125,2.684
1956,2.9084,0.100,2.808
1957,2.8756,0.096,2.849
1958,5.0148,0.163,2.877
1959,6.6046,0.208,2.972
1960,7.4839,0.229,3.093
1961,7.9783,0.237,3.046
1962,9.3377,0.269,3.095
1963,9.1104,0.255,3.199
1964,11.7878,0.320,3.308
1965,13.1499,0.347,3.389
1966,19.1811,0.492,3.482
1967,22.9622,0.573,3.519
1968,23.6009,0.573,3.635
1969,27.0556,0.640,3.797
1970,28.1730,0.649,4.026
1971,24.5036,0.551,4.105
1972,23.0348,0.506,4.211
1973,25.0679,0.538,4.348
1974,19.0580,0.400,4.248
1975,21.7714,0.447,4.179
1976,13.8987,0.279,4.329
1977,15.2468,0.300,4.373
1978,15.3877,0.296,4.430
1979,16.2497,0.306,4.477
1980,16.7890,0.309,4.372
1981,17.6954,0.319,4.194
1982,18.3416,0.323,4.088
1983,19.2697,0.331,4.043
1984,17.4952,0.294,4.109
1985,21.0974,0.346,4.171
1986,20.5847,0.330,4.157
1987,23.2969,0.366,4.209
1988,23.0725,0.354,4.295
1989,17.3979,0.261,4.278
1990,21.2986,0.313,4.270
1991,21.3755,0.308,4.292
1992,21.4665,0.303,4.104
1993,22.8530,0.316,4.085
1994,26.1689,0.355,4.055
1995,28.6967,0.383,4.083
1996,34.2065,0.450,4.147
1997,44.5169,0.577,4.115
1998,46.7915,0.599,4.045
1999,46.8898,0.593,4.043
2000,52.6010,0.658,4.107
2001,59.6540,0.739,4.090
2002,68.4995,0.840,4.132
2003,76.0477,0.924,4.289
2004,87.7434,1.056,4.431
2005,94.6939,1.130,4.525
2006,98.6257,1.166,4.617
2007,100.3620,1.175,4.696
2008,113.3269,1.314,4.724
2009,123.4429,1.417,4.599
2010,138.5851,1.575,4.793
2011,151.2306,1.702,4.895
2012,142.5520,1.587,4.908
2013,149.2201,1.644,4.893
2014,169.0062,1.843,4.871
2015,193.0037,2.083,4.810
2016,192.7656,2.059,4.750
2017,195.2493,2.064,4.760
2018,223.7178,2.341,4.802
2019,260.3121,2.699,4.758
2020,254.3032,2.613,4.465
