"link","src","title"
"https://cadasa.github.io/norway_trails.html","https://cadasa.github.io/vizapps/hiking_trails.JPG","Famous Hiking Trails in Europe I Have Hiked"
"https://cadasa.github.io/earthquake_map.html","https://cadasa.github.io/vizapps/earthquakes.JPG","Real-Time Earthquake Map"
"https://cadasa.github.io/pandora.html","https://cadasa.github.io/vizapps/pandora_leak.JPG","Pandora Leak - Offshore Companies per Country"
"https://cadasa.github.io/cat.html","https://cadasa.github.io/vizapps/Cat.JPG","Global Airline Direct Routes & COVID Restrictions"
"https://cadasa.github.io/woa.html","https://cadasa.github.io/vizapps/woa.JPG","Western Australia - Monday Night 06/12/2021"
"https://cadasa.github.io/temp.html","https://cadasa.github.io/vizapps/temp.JPG","Global Temperature since the Last Glacial Maximum (24000 yr BP)"
"https://cadasa.github.io/le191121.html","https://cadasa.github.io/vizapps/le.JPG","Total Lunar Eclipse in November 19, 2021"
"https://cadasa.github.io/vne.html","https://cadasa.github.io/vizapps/vne.JPG","Path to Net-Zero Emissions by 2050"
"https://cadasa.github.io/nz0.html","https://cadasa.github.io/vizapps/nz0.JPG","Fossil Fuel Assets Worldwide by 2036 in Net Zero Transition"
"https://cadasa.github.io/aurora.html","https://cadasa.github.io/vizapps/auora.JPG","Real-Time Aurora Borealis Forecast"
"https://cadasa.github.io/aid.html","https://cadasa.github.io/vizapps/aid.JPG","Global Chinese Loan and Investment"
"https://cadasa.github.io/flc.html","https://cadasa.github.io/vizapps/flc.JPG","The 1st Non-Stop Flight HAN-SFO of Bamboo Airways"
"https://cadasa.github.io/slr.html","https://cadasa.github.io/vizapps/slr.JPG","Prediction of Sea Level Rise"
"https://cadasa.github.io/lap.html","https://cadasa.github.io/vizapps/lap.JPG","Lunar Analemma and Phases Observed from Monte Cridola - Italy"
"https://cadasa.github.io/nkm.html","https://cadasa.github.io/vizapps/nkm.JPG","North Korea's Line of Fire"
"https://cadasa.github.io/droute.html","https://cadasa.github.io/vizapps/droute.JPG","Shortest Driving Route between Two Cities"
"https://cadasa.github.io/tdf-21.html","https://cadasa.github.io/vizapps/tdf.JPG","Tour de France Map"
"https://cadasa.github.io/gold_mines.html","https://cadasa.github.io/vizapps/10_mines.JPG","Top 10 Mines in the World"
"https://cadasa.github.io/us_trails.html","https://cadasa.github.io/vizapps/us_trails.JPG","All the Hiking Trails in the US"
"https://cadasa.github.io/ai_tennis.html","https://cadasa.github.io/vizapps/ai_tennis.JPG","A.I Tennis"
"https://cadasa.github.io/lisno_map.html","https://cadasa.github.io/vizapps/ncs.JPG","Norwegian Continental Shelf Map with Lithostrat Wells"
"https://cadasa.github.io/360_photo.html","https://cadasa.github.io/vizapps/360_photo.JPG","Visualize a Panorama Photo in 3D"
